"X5uM_10h" "X5uM_10h.1" "X5uM_10h.2" "X5uM_10h.3" "X5uM_10h.4" "X5uM_10h.5" "X10uM_10h" "X10uM_10h.1" "X10uM_10h.2" "X10uM_10h.3" "X10uM_10h.4" "X10uM_10h.5" "Veh_24h" "Veh_24h.1" "Veh_24h.2" "Veh_24h.3" "Veh_24h.4" "Veh_24h.5" "X5uM_24h" "X5uM_24h.1" "X5uM_24h.2" "X5uM_24h.3" "X5uM_24h.4" "X5uM_24h.5" "X10uM_24h" "X10uM_24h.1" "X10uM_24h.2" "X10uM_24h.3" "X10uM_24h.4" "X10uM_24h.5" "UT_48h" "UT_48h.1" "UT_48h.2" "UT_48h.3" "UT_48h.4" "UT_48h.5" "Veh_48h" "Veh_48h.1" "Veh_48h.2" "Veh_48h.3" "Veh_48h.4" "Veh_48h.5" "X5uM_48h" "X5uM_48h.1" "X5uM_48h.2" "X5uM_48h.3" "X5uM_48h.4" "X5uM_48h.5" "Veh_72h" "Veh_72h.1" "Veh_72h.2" "Veh_72h.3" "Veh_72h.4" "Veh_72h.5"
"1,2-dioleoyl-GPC (18:1/18:1)*" 6.08330621125264 5.93682829097875 5.90387697512418 5.96608773601439 5.87993840767763 5.92004188844033 5.92552557573705 5.97818599695939 5.9247980614029 6.04828755889147 5.99437127110232 5.93633777735778 5.93841213890966 5.92056157548675 5.96217416714846 5.86614255012406 6.13631397869679 6.04444254280492 6.05575167939828 5.95294831565188 5.99917492583004 5.90452621002994 5.92272130701063 5.88103354101628 5.92539925112281 5.86834167841115 5.92506340993403 5.89619982287256 5.97504605727443 5.88590261955908 6.06470464336375 5.90372793110621 5.99484221266329 5.98157897717182 5.94210879765619 5.79332092543267 5.9458564210356 6.0360437205894 5.76945265634046 6.07670778503684 6.00662561080493 5.77037328786749 5.93441208875445 6.07211344666875 5.97019014855279 5.96393272535136 5.8884911976053 5.97489883896053 5.92642682740294 5.94359046559029 5.95724945724116 5.9330978680225 5.96736167634804 6.04622271811544
"1,2-dipalmitoyl-GPC (16:0/16:0)" 6.117076648332 5.98364116923497 5.95431150852556 5.99732040507303 5.94014777580609 5.87882902483145 6.05218125657021 6.06915359352122 6.01609567151442 6.07890538145534 6.01375543972348 5.98783021142069 6.03282659233163 5.98448680730631 6.01443274695786 5.96822696627209 6.0903095584021 6.00420396940643 6.08360544801595 6.05068477676878 5.99138779811432 5.88529957750791 5.95976191403375 6.04458561758716 5.91703787929656 6.02224562385704 5.90906476339398 5.94987575433785 6.0482335408839 6.05386407450267 6.0452948074201 5.9768408623946 6.01233011130545 6.01605340162143 6.07365274310202 5.95193220177146 6.08010855978882 6.0304114734058 5.95253818289604 6.05898675256483 6.08136099182595 5.95324586727737 6.041957295624 6.14376276699632 6.07087570827048 6.0518267958624 5.95726670881531 6.01550058483765 5.99200931484728 6.05989421897839 5.92804079433184 5.95847835366486 5.96596281351302 5.93843616048023
"1,5-anhydroglucitol (1,5-AG)" NA 5.38764249797186 5.5612147149479 5.66040154033005 4.89245080076819 5.28663832335855 5.61670966519193 5.48415172679463 5.60126559205866 5.54168905165656 5.42259312248822 5.57942801534232 5.6829911710401 5.56047932455524 5.48686101748882 5.60427682583948 4.99171770229824 5.41624430334542 5.1295964508423 5.69504541177227 5.6604812704085 5.62270401205773 5.59535290304669 5.20176297936277 5.47895444590641 5.6499683106611 5.58467716496539 5.60220111410337 5.63236718444854 5.66194702165721 5.26280692300056 5.49407802894759 5.58506347863982 5.57214058295137 5.49116831969779 5.52524181536445 5.62479345752263 5.54024936698001 5.5016561779789 NA 5.20857302230467 5.36091513422368 5.44480960517298 5.56612742373484 5.53910120179454 4.82430159970865 5.27404001935211 5.50834788321989 5.4532051640634 5.53987115874775 5.22001389348034 5.57373352920606 5.2021557937646 5.49591464808075
"1-arachidonoyl-GPC (20:4n6)*" 5.9130775761353 5.77100141268704 5.8001979511568 5.7468450685327 5.68328664501772 5.74127690350039 5.81008391814722 5.75560047776599 5.77027305733304 5.80075761970403 5.75128988420903 5.7738602833885 5.22253439338171 5.17964656731699 5.37291752362758 5.08318717597204 5.0650379091485 5.29766861035241 5.35370278012364 5.39381553410949 5.34719531434313 5.250756572074 5.17440582552825 5.28176718211646 5.25926887254532 5.32189655608673 5.45519976973809 5.38779011827522 5.34985426051146 5.5305915394089 NA NA NA NA NA NA NA NA 4.80280108156309 NA NA NA NA NA NA NA NA 4.74474660343351 NA NA NA NA NA NA
"1-methylguanidine" 5.30813310616762 5.37059820075613 5.36793149222259 5.34616708793703 5.35129565245743 5.35856868276576 5.30478125264114 5.28520838315249 5.22252138490552 5.27406312577613 5.32500841669874 5.28307044845361 5.42566461968312 5.38752329798304 5.34041833403719 5.41506186820864 5.25049319184061 5.4318267647166 5.47276229836176 5.40231985777479 5.34876034119676 5.36621369829516 5.36955721973258 5.31646310543228 5.31009614524987 5.35340646733208 5.32864662263669 5.40924141930748 5.44887320528875 5.25512771614317 5.38273366761484 5.35949018530102 5.41063722462896 5.29997772926126 5.37847058013531 5.32477821474078 5.44807992794766 5.31230220873737 5.33943554007321 5.40918556138737 5.42618094184582 5.38115119517346 5.36005352307843 5.36425260854149 5.3388189184653 5.41132502642172 5.26641516264287 5.35244687472216 5.34152750706397 5.31608572238339 5.39378747313233 5.40840957846843 5.35030424031976 5.40973198320636
"1-methylhistidine" 7.92386911844137 7.94319660051161 7.91313930376257 7.9256583986603 7.93103915955813 7.91775036789687 7.93867068131464 7.93604259919873 7.92806594997892 7.91686625356868 7.9242504975878 7.93835942692374 7.9226754775254 7.91923014207926 7.89795377773537 7.8793299338462 7.92243097189229 7.90757068752068 7.97605039135695 7.95465730379628 7.92808833666439 7.92366463483158 7.93567482481525 7.94915368616176 7.90684546343052 7.93282775302204 7.90753092579505 7.92816356551306 7.93285987155257 7.93503946724384 7.94241588981852 7.92051856316419 7.85550931881667 7.92238315927079 7.91255690294718 7.9004730071232 7.8308237527368 7.80512237453513 7.93084079536582 7.92694345639029 7.94782830939891 7.91599332062134 7.80071960707834 7.91501241742969 7.93980984315172 7.91745181546219 7.88041335412056 7.89409424996912 7.89596607949335 7.84997421907121 7.92177417850942 7.93088300116763 7.82267737026584 7.93606099584682
"1-methylimidazoleacetate" 6.34321493998815 6.44878837989926 6.56948919891079 6.52586336086016 6.51676931429589 6.3916297754905 6.54782748187859 6.38056613240875 6.58650302536332 6.31506325492008 6.56283628481969 6.47765525326644 6.56514423486403 6.31693709495671 6.33098933932672 6.35121750603574 6.42043617894573 6.32543232665353 6.60708405239534 6.47101431959487 6.53494211026176 6.56190122796762 6.56347171117737 6.57944585851066 6.5265477145649 6.41628727066184 6.55253413588781 6.50571297461617 6.53262827519148 6.41234242342871 6.22248261733564 6.54055244715842 6.45665566864999 6.55783815012928 6.56398320016606 6.56557334753854 6.36810010741654 6.47023109060028 6.54941245921444 6.54945363961238 6.56955941089659 6.5960031905813 6.17550949402758 6.38523616137687 6.34240846731567 6.41104683390274 6.53472701463195 6.46841852523624 6.54536848251842 6.41684579191302 6.42534719233043 6.43054362132488 6.33209735432665 6.34999492929152
"1-methylnicotinamide" 6.11555260188264 6.25085359230409 6.30566515207526 6.23402602016176 6.36368811575713 6.36460689661812 6.24994763325137 6.2484468062064 6.22987118107216 6.18370335216421 6.32647452622523 6.30971574055437 6.68240503350625 6.65983655627388 6.80277372529198 6.76669370910923 6.81926681991168 6.85094474830816 6.85105546746481 6.79465322839178 6.83680891270509 6.7986093544363 6.88881058810529 6.88125982910467 6.75494798194757 6.74448606430048 6.74102570614438 6.71379335160486 6.82069513127902 6.77175660968713 7.26950416484288 7.31359998381288 7.21006383567506 7.25305998727677 7.34272942126405 7.35705057716274 6.99811337176508 7.08866617157936 7.31310392044497 7.27228649559512 7.33388678778278 7.35542918221787 7.10402433438452 7.12871647218007 7.18729573186756 7.06123950194046 7.22119403515398 7.1506969236269 7.37806814809715 7.26467145999113 7.48243097778782 7.56672411444924 7.58992316326308 7.54968518212402
"1-oleoyl-GPC (18:1)" 6.32826683534943 6.33179219351016 6.35627373606463 6.3832969541434 6.29325070671826 6.29150671040558 6.34808162116259 6.39507623032801 6.35277487766363 6.40528760775439 6.36040026671096 6.38416571104539 6.14526261776292 6.13959670320352 6.24395802606172 6.06030906724449 6.06400886131106 6.19210922333917 6.22758799232983 6.19654839638217 6.25823368499212 6.16618729104725 6.16337518850563 6.27860957416623 6.23366659024315 6.17917909164585 6.25522521268486 6.281484026518 6.22634698713311 6.37369358140057 5.63512973298962 5.61360188980261 5.81441541945127 5.71923762177623 5.61565446259008 5.81110896166651 5.74955235831078 5.76806803945397 5.88424180961057 5.70105049516793 5.75257850155603 5.77931215895642 5.95770399898711 5.94705710472679 6.04103246620364 5.91387104837827 5.88918288569945 6.09327561156788 5.27679945747768 5.3563528897862 5.56725463442304 5.31934761399097 5.29472628406504 5.57275430362691
"1-palmitoleoyl-GPC (16:1)*" 5.72400865533382 5.60482090983548 5.56114552672377 5.61380377981739 5.58429050735121 5.5082266170756 5.61259632813249 5.59267075011174 5.54121468296363 5.6413719698829 5.64626547505112 5.53743498376142 5.45731709812939 5.41967163028551 5.51322825747047 5.35816145911054 5.42976519563138 5.42937755958002 5.55306826397431 5.47055895490847 5.50122363280518 5.48631852555455 5.41592774637728 5.46034598337073 5.38920153552833 5.45609869271931 5.38122883110228 5.50267287750221 5.51324957149099 5.55229945672012 5.035437743539 5.03645721931437 4.95636535566449 4.97205465293639 4.96655470297251 5.0260999796409 5.0105882596042 5.10546930807157 4.91203596640174 4.99925672075091 5.04856997531402 4.98433825283811 5.29556270202141 5.3151828665795 5.24091599734339 5.1950717679625 5.07966232255106 5.29257502770009 4.93326451560381 NA NA NA NA NA
